site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
W1,F,10,MIN,NA,0.381,57.16,4.19,3.95,11.78,0.48,23.79,43.73,4.86,0,3.93,2.27,2.24,0.09,0.02,0.25,1.03,1.51
W2,B,2,FF,139,0.045,6.19,3.88,3.16,47.99,1.69,95.53,115.91,9.14,0.95,62.98,-0.95,12.77,1.43,1.03,1.04,2.1,2.98
W2,B,3,FF,102,0.036,3.72,3.47,3.15,44.9,1.62,89.33,144.2,8.27,2.78,159.01,7.98,14.88,1.55,0.71,1.19,1.3,3.27
W2,B,4,FF,14,0.208,2.91,3.87,3.14,46.46,1.85,92.44,169.12,54.71,1.3,115.26,0.2,9.6,3.14,0.81,1.22,1.03,3.25
W2,B,5,FF,121.5,0.028,3.45,3.81,2.88,47.35,1.87,92,101.8,10.41,0.3,119.78,2.66,14.23,2.15,0.78,0.1,1.5,3.5
W2,B,6,FF,89.8,0.04,3.62,4,3.01,48.07,1.79,97.41,111.85,13.47,1.68,157.98,-0.08,6.55,2.2,0.74,1.12,1.6,3.32
W2,B,7,FF,42.8,0.101,4.33,3.91,2.25,48.69,1.85,94.47,123.36,11.77,1.18,117.07,2.11,8.39,1.2,0.84,1.37,1.57,2.96
W2,B,8,FF,45.3,0.105,4.73,3.72,3.14,35.97,1.37,55.84,70.08,9.09,0.03,109.79,20.02,9.04,1.13,0.54,0.6,1.63,2.11
W2,B,9,FF,16.5,0.169,2.79,3.57,2.9,41.43,1.51,76.21,107.04,89.51,0.92,715.6,3.11,8.28,1.5,0.69,1.66,1.64,1.61
W2,B,10,FF,77.5,0.034,2.67,3.72,2.88,47.11,1.53,90.53,159.19,7.42,0.03,122.57,0.85,5.18,1.99,0.74,1.47,1.83,3.52
W2,C,3,FF,91.3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,1.28,0.95,1.68,1.37,3.14
W2,C,5,FF,68,NA,NA,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,0.6,0.27,0.74,1.11,1.44
W2,C,7,FF,56.3,NA,NA,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,1.74,0.84,1.53,1.86,3.47
W2,C,9,FF,65.8,NA,NA,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73,2.05,0.94,1.46,1.92,1.94
W2,D,2,FF,95.5,0.065,6.21,3.6,2.86,49.56,1.6,94.58,66.56,7.15,2.64,85.44,-2.64,11.28,1.4,0.77,0.87,1.82,2.69
W2,D,3,FF,143.8,0.031,4.4,3.47,2.8,47.82,1.81,94.42,106.28,31.71,0,384.26,3.28,2.67,0,0.48,0.37,1.59,3.14
W2,D,4,FF,46.8,0.089,4.14,3.81,2.95,30.06,1.2,55.45,47.6,4.36,1.51,108.38,1.82,10.6,1.53,0.67,0.52,2.42,2.64
W2,D,5,FF,69.5,0.03,2.08,3.6,2.96,43.12,1.39,83.35,90.49,53.38,0.84,514.98,0.54,1.78,0.54,0.25,0.31,1.24,1.94
W2,D,6,FF,48.3,0.075,3.62,4,2.96,48.33,1.99,95.05,120.11,14.23,0,161.82,0,9,3.42,0.69,0.47,1.12,1.05
W2,D,7,FF,56.3,0.053,2.99,4.02,2.89,41.23,1.71,77.03,86.83,13.61,0.41,126.84,2.71,8.08,3.05,0.69,0.61,1.21,3.12
W2,D,8,FF,72.5,0.058,4.18,3.45,2.77,48.52,1.91,94.76,93.06,30.32,25.45,338.77,-22.5,10.91,1.49,0.67,0.29,1.56,2.61
W2,D,9,FF,72.8,0.061,4.42,4,2.94,47.73,1.93,94.48,139.02,10.16,0.25,37.18,-0.25,10.07,2.49,0.72,0.37,1.67,3.24
W2,D,10,FF,66.8,0.049,3.25,3,2.95,47.17,1.81,91.76,131.04,65.04,1.32,410.32,-1.27,8.71,2.49,0.81,0.65,1.48,3.21
W2,E,3,FF,48.8,NA,NA,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,2.67,0.83,0.41,1.73,2.37
W2,E,5,FF,66.3,NA,NA,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03,1.31,0.55,0.44,1.74,1.83
W2,E,7,FF,32.5,NA,NA,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61,1.52,0.44,0.3,1.11,2.22
W2,E,9,FF,81.3,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73,2.15,0.67,0.37,1.23,2.93
W2,F,2,FF,93.8,0.022,2.06,4.19,3.12,45.83,1.86,90.37,225.04,16.36,2.22,301.07,2.38,6.4,1.49,0.88,0.48,2.21,3.7
W2,F,3,FF,69.3,0.054,3.76,4.25,3.21,45.43,1.95,88.68,72.73,20.86,0,209.07,4.38,4.15,1.89,0.45,0.17,2.49,3.21
W2,F,4,FF,84.8,0.05,4.27,3.82,2.86,49.1,1.73,97.32,83.68,18.85,0.99,131.19,-0.99,9.08,0.64,0.6,0.4,1.97,3.39
W2,F,5,FF,96.8,0.041,3.92,3.92,2.72,48.6,1.68,94.44,67.7,66.09,0.38,9.64,2.48,9.75,0.73,0.67,0.41,1.82,3.49
